店舗名,店舗電話番号,担当電話番号,メールアドレス1,メールアドレス2,メールアドレス3,N_P,PayPay,楽天Pay,auPay,メルペイ,クラウド,dメル
ミートブル,529352990,,yu_matsuur8001@yahoo.co.jp,,,2018/10/02,,,,,,
張亮麻辣燙,8043982999,,,,,2018/10/05,,,2020/04/21,,,
Sun Light,522321137,,danmarlirapun@gmail.com,,,2018/10/10,,2020/03/28,2020/04/06,,2020/03/28,導入済み
焼肉菜食MANNA,526844155,,,,,2018/10/10,,,,,,
焼肉きっず,522627887,,,,,2018/10/10,,,,,,
東北料理鉄鍋炖,8035926888,,,,,2018/10/13,2020/06/20,,2019/11/21,,2020/06/20,2019/11/21
盛華,528512907,,,,,2018/10/13,,,,,,導入済み
鉄生名駅本店,524523505,,,,,2018/10/19,2019/10/08,,,,,
鉄生,522127287,,,,,2018/10/19,2019/10/08,,2019/10/08,,,
鼓粋,522215639,,,,,2018/10/23,,,,,,
まぼろし海鮮 陸奥,529610059,,syabaram@gmail.com,,,2018/10/23,,,,,2020/03/18,導入済み
しゃばらむ,525812555,,,,,2018/10/23,,,,,,2020/08/15
おばんざいちくさ家,527333383,,,,,2018/10/19,,,2019/12/05,,2019/12/05,2019/12/05
モティマハル,527222302,,,,,2018/10/25,,2020/02/12,2020/02/12,,2020/02/12,導入済み
理容楽(RAKU),522280369,,riyo_raku@yahoo.co.jp,,,2018/10/26,,,,,2020/03/10,導入済み
中華料理大盛華,527225882,,,,,2018/10/26,,,,,,
スピッツサロン名古屋駅西店,524823759,,,,,2018/10/27,,,,,,
CLOSER,529734300,,,,,2018/10/29,,,,,2020/03/19,導入済み
自転車工房JUN,525510682,,,,,2018/10/29,,,,,2020/03/16,導入済み
居酒屋おおひら,522416443,,,,,2018/10/26,,,,,,
コートオブアームズ,522286155,,luis@coatofarms.jp,,,2018/11/02,,2020/02/14,2019/04/27,,2020/02/14,導入済み
マウントエベレスト平針,528085433,,,,,2018/11/04,,,,,,
BOUTIQUE　LA　SHE'L,528042941,,,,,2018/11/05,,,,,2020/02/08,導入済み
フラワーショップ　つくし,528077583,,,,,2018/11/06,,,,,,
ウッタムカレー（丸の内店）,522020177,,,,,2018/11/09,2020/06/05,,2020/06/05,,2020/06/05,導入済み
ニューナンカレーハウス,525837008,,,,,2018/11/09,,,,,,
My Botang,8077369073,,mybotangjapan@gmail.com,,,2018/11/09,,,,,2019/12/27,導入済み
WORLD FOODSHOP AND HAPPY HALAL FOODS,9044407536,,noyon19640103@icloud.com,,,2018/11/09,,2019/12/24,2019/12/24,,2019/12/24,導入済み
バイクウェイズ,528339099,,rpfdn162@ybb.ne.jp,,,2018/11/10,,,,,2020/02/07,導入済み
中国料理来来　塩釜口店,528874699,,,,,2018/11/10,,,,,,
サンサンライス天白,528012929,,,,,2018/11/12,,,,,,
木村自動車商会,528014252,,,,,2018/11/12,,2020/02/07,,,2020/02/07,
蛸玉,9099306332,,,,,2018/11/12,,,,,,
ビッテ,528048884,,,,,2018/11/13,,,,,,
東寿司,528315157,,,,,2018/11/15,,,,,,
Import select Piedi,522128005,,info@selectshop-piedi.com,,,2018/11/15,2020/01/28,2020/01/28,2020/01/28,,2020/01/28,
INCAMESHI,522126949,,,,,2018/11/15,,,2020/12/03,,,2020/12/03
四川火鍋桜,522634888,,,,,2018/11/16,,,,,,
HUNDRED,528903910,,,,,2018/11/16,,,,,,
手のべとんかつ　百年亭,528021207,,,,,2018/11/16,,,,,,
パティスリーアヴァロン,528350024,,,,,2018/11/16,,,,,,
MASTER INK,526848233,,marlonsaustiano@gmail.com,,,2018/11/16,,,2020/08/28,,,2020/08/28
ネパールインド料理ゴルカ,524525880,,,,,2018/11/20,,,,,2019/12/26,
Homey　Room　style,528084949,,,,,2018/11/20,,,,,,
SHIOGAMAAPARTMENTSTYLE,528064228,,,,,2018/11/20,,,,,,
寿司Dining　魚道,528617544,,,,,2018/11/19,,2020/05/22,2020/05/22,,2020/05/22,2020/05/22
盛華　御器所店,528594771,,,,,2018/11/22,,,,,,2019/11/29
隠れ家酒場　酒武者　栄伏見店,527469252,,,,,2018/11/23,,,,,,
